title,author,genre,sex,view,recommandation_count,total_serial_num,preferred_age
타이탄무림가다,유진산,퓨전,남자,150068,32,7 ,40
악플러,새벽녘,게임,남자,6132,11,6 ,20
피어나는숲,한상현,퓨전,남자,476,2,1 ,30
독재자,정호운,판타지,남자,307768,301,41 ,40
광천만기,고렘,무협,남자,510626,895,38 ,40
그놈이돌아왔다,현무지기,현대판타지,남자,45583,45,0 ,30
달이지다,풍백(風伯),무협,남자,92438,385,11 ,50
두억시니,니르바나,일반소설 공포·미스테리,남자,14259,236,19 ,40
나에게오라,숲길,현대판타지,남자,254,0,1 ,20
도시의히어로,황규영,현대판타지,남자,829819,4521,26 ,40
마도전설,요도,무협,남자,304429,88,10 ,50
리커버리매직,정상수,판타지,남자,264318,322,17 ,50
레스전기,agrisieu..,판타지,남자,86457,243,140 ,50
애&자&악,성회,판타지,남자,3855,9,40 ,30
생사금고,한희석,무협,남자,280786,12,9 ,50
절대무신,[적하],무협,남자,47472,70,2 ,40
하수전설,군주,무협,남자,491989,186,10 ,50
소림선승[E],형상준,무협,남자,62984,592,21 ,50
무당신선,북미혼,무협,남자,342954,33,2 ,50
연재모음,금강,무협,남자,681647,2149,22 ,50
지옥왕,요도,무협,남자,272727,873,13 ,30
소드이블,하백(河伯),퓨전,남자,494941,1237,18 ,40
낙원의서,얼치기,게임,남자,48884,16,17 ,30
시스템,주앤라,일반소설,남자,59742,66,33 ,40
흑호전설,석왕,무협,남자,8858,1,1 ,10
행운공자,주비(走飛),무협,남자,13303,118,6 ,30
영웅으로다시..,서명(徐明),판타지,남자,103904,0,2 ,30
무당유룡,진필명,무협,남자,301199,1059,10 ,50
잠행무사,김문형,무협,남자,58310,32,10 ,30
봇전쟁,이상향™,퓨전 판타지,남자,64333,364,24 ,40
스피릿오브엔젤,천영天影,판타지 퓨전,남자,48427,85,94 ,30
눈의정령왕,희공,판타지,남자,7370,55,11 ,10
기갑거병라르크,현율玄聿,판타지,남자,76964,126,17 ,40
아빠가되주센,김태신,로맨스,남자,96025,1003,96 ,20
이스나드빌,아르벤,게임 퓨전,남자,102791,220,92 ,40
눈밑들,사람123,판타지,남자,32135,299,50 ,20
당신의이야기,hiyan,로맨스,남자,12862,108,60 ,50
첫번째마법사,이지.,판타지,남자,89386,138,9 ,10
풍우뇌협,장상수,무협,남자,119272,66,20 ,50
시크하게가자,파란미르,퓨전,남자,4823,12,10 ,30
피의인도자,두샤,판타지,남자,2884,33,3 ,20
의적전기임진강,흑마룡,퓨전,남자,54330,162,92 ,50
전쟁이야기,관해,퓨전,남자,2905177,22043,296 ,40
악마보다,나르키어스,판타지 공포·미스테리,남자,15053,135,46 ,20
브리아,리안토니오,판타지,남자,160759,100,356 ,30
제왕기,진설우,판타지,남자,428012,930,11 ,40
휘린,은서우,판타지 로맨스,여자,457424,5747,25 ,20
기사,문현(文鉉),퓨전,남자,85786,243,43 ,20
그라브,명인k,일반소설,남자,36239,219,75 ,40
적자생존,LINE,현대판타지,남자,229171,1544,76 ,40
하늘과땅,니고데모,판타지,남자,95837,880,77 ,40
로열블러드,기린or,퓨전,남자,89599,289,21 ,40
문대랑,groovy,무협,남자,54860,217,20 ,50
전,저녁이슬,판타지,남자,10036,12,26 ,30
사단,이스a,무협,남자,1026900,3045,168 ,50
신들의황혼,MK4,판타지,남자,22364,23,94 ,30
사검,송무향,무협,남자,19100,17,1 ,50
월야공자,박이,무협,남자,6227215,81008,172 ,30
음영잔설,임제,무협,남자,1015664,7737,35 ,50
화염의용병,몽몽객,판타지,남자,77601,358,19 ,50
녹색그림자,시두김태은,게임,남자,323709,2695,6 ,30
천신전기,천지,판타지,남자,158743,1199,74 ,40
할로우소울,프리시커,퓨전,남자,189205,907,194 ,20
도플갱어의숲,복면광대,현대판타지,남자,174767,1143,36 ,20
문차크의악몽,복면광대,퓨전,남자,80088,588,80 ,30
만승지존,마하(摩訶),무협,남자,147788,9,8 ,50
快史단제산,제반(齊潘),대체역사,남자,24814,62,31 ,40
Buster,황테디,게임 라이트노벨,남자,944887,16855,346 ,20
아이작,취몽객,퓨전,남자,1055063,5364,17 ,30
개이계로짖다,아련-,판타지,남자,21090,37,8 ,20
창조사,김태팔,게임,남자,107064,372,46 ,40
